Reaction #,Plate,Rxn_Plate_Row,Rxn_Plate_Col,Prod_Smiles,Rxn_Plate,Product_theoretical_umol,Target Mass,ArX_ID,ArX_Smiles,ArX_umol,ArX_equiv,ArX_conc_M,ArX_nL,Acid_ID,Acid_Smiles,Acid_umol,Acid_equiv,Acid_conc_M,Acid_nL,Catalyst_ID,Catalyst_Smiles,Catalyst_umol,Catalyst_equiv,Catalyst_conc_M,Catalyst_nL,Additive_ID,Additive_Smiles,Additive_umol,Additive_equiv,Additive_conc_M,Additive_nL,Solvent_ID,Solvent_nL,Solvent_Smiles,Quench_Solvent1_ID,Quench_Solvent1_Smiles,Quench_Solvent1_uL,Quench_Additive1_ID,Quench_Additive1_Smiles,Quench_Additive1_conc_M,Solution_Base_ID,Solution_Base_Smiles,Solution_Base_umol,Solution_Base_equiv_rel_to_solute,Solution_Base_conc,Solution_Base_solute,Solution_Photocatalyst_ID,Solution_Photocatalyst_Smiles,Solution_Photocatalyst_umol,Solution_Photocatalyst_equiv_rel_to_solute,Solution_Photocatalyst_conc,Solution_Photocatalyst_solute,Solution_Ligand_ID,Solution_Ligand_Smiles,Solution_Ligand_umol,Solution_Ligand_equiv_rel_to_solute,Solution_Ligand_conc,Solution_Ligand_solute,CAD Yield,UV210_Prod AreaAbs,UV254_Prod AreaAbs
960,2,8,24,CCOC(=O)c1ncn-2c1CN(C(=O)c3c2ccc(c3)C4CC[C@@H](CC4)C(=O)OC)C,20hr_25C,0.1,425.20,MFCD12911997,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,0.1,1,0.1,0,MFCD01311247,COC(=O)[C@H]1CC[C@@H](CC1)C(=O)O,0.15,1.5,0.2,750,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,0.1,100,blank,,0,0,0,0,DMSO,150,CS(=O)C,DMSO,CS(=O)C,9.0,Acetic Acid,CC(=O)O,0.1,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.2,Neat,Catalyst,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,1.5,Neat,Catalyst,43.4,143107.7,78633.2
961,2,9,1,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)C4CCC[C@H](C4)C(=O)c5ccccc5,20hr_25C,0.1,471.22,MFCD12911997,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,0.1,1,0.1,0,MFCD01311278,c1ccc(cc1)C(=O)[C@@H]2CCC[C@@H](C2)C(=O)O,0.15,1.5,0.2,750,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,0.1,100,blank,,0,0,0,0,DMSO,150,CS(=O)C,DMSO,CS(=O)C,9.0,Acetic Acid,CC(=O)O,0.1,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.2,Neat,Catalyst,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,1.5,Neat,Catalyst,15.2,108332.7,75663.3
962,2,9,2,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)C4CCCC[C@@H]4CC(=O)c5ccccc5,20hr_25C,0.1,485.23,MFCD12911997,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,0.1,1,0.1,0,MFCD01311371,c1ccc(cc1)C(=O)C[C@H]2CCCC[C@H]2C(=O)O,0.15,1.5,0.2,750,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,0.1,100,blank,,0,0,0,0,DMSO,150,CS(=O)C,DMSO,CS(=O)C,9.0,Acetic Acid,CC(=O)O,0.1,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.2,Neat,Catalyst,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,1.5,Neat,Catalyst,2.8,77474.8,54999.2
963,2,9,3,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)CCCCC(=O)c4ccc(cc4)Cl,20hr_25C,0.1,479.16,MFCD12911997,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,0.1,1,0.1,0,MFCD01320020,c1cc(ccc1C(=O)CCCCC(=O)O)Cl,0.15,1.5,0.2,750,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,0.1,100,blank,,0,0,0,0,DMSO,150,CS(=O)C,DMSO,CS(=O)C,9.0,Acetic Acid,CC(=O)O,0.1,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.2,Neat,Catalyst,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,1.5,Neat,Catalyst,1.5,49997.4,36554.8
964,2,9,4,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)CCCC(=O)C4CC4,20hr_25C,0.1,395.18,MFCD12911997,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,0.1,1,0.1,0,MFCD01320152,C1CC1C(=O)CCCC(=O)O,0.15,1.5,0.2,750,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,0.1,100,blank,,0,0,0,0,DMSO,150,CS(=O)C,DMSO,CS(=O)C,9.0,Acetic Acid,CC(=O)O,0.1,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.2,Neat,Catalyst,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,1.5,Neat,Catalyst,22.7,81276.8,43372.2
965,2,9,5,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)CCC(=O)C(C)(C)C,20hr_25C,0.1,397.20,MFCD12911997,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,0.1,1,0.1,0,MFCD01320155,CC(C)(C)C(=O)CCC(=O)O,0.15,1.5,0.2,750,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,0.1,100,blank,,0,0,0,0,DMSO,150,CS(=O)C,DMSO,CS(=O)C,9.0,Acetic Acid,CC(=O)O,0.1,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.2,Neat,Catalyst,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,1.5,Neat,Catalyst,8.8,63461.2,33415.2
966,2,9,6,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)C4CC[C@H](N4C(=O)OC(C)(C)C)c5ccccc5,20hr_25C,0.1,530.25,MFCD12911997,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,0.1,1,0.1,0,MFCD01321009,CC(C)(C)OC(=O)N1[C@@H](CC[C@@H]1C(=O)O)c2ccccc2,0.15,1.5,0.2,750,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,0.1,100,blank,,0,0,0,0,DMSO,150,CS(=O)C,DMSO,CS(=O)C,9.0,Acetic Acid,CC(=O)O,0.1,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.2,Neat,Catalyst,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,1.5,Neat,Catalyst,7.9,74063.0,34696.0
967,2,9,7,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)C4C[C@H](CN4C(=O)OC(C)(C)C)c5ccccc5,20hr_25C,0.1,530.25,MFCD12911997,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,0.1,1,0.1,0,MFCD01321010,CC(C)(C)OC(=O)N1C[C@@H](C[C@H]1C(=O)O)c2ccccc2,0.15,1.5,0.2,750,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,0.1,100,blank,,0,0,0,0,DMSO,150,CS(=O)C,DMSO,CS(=O)C,9.0,Acetic Acid,CC(=O)O,0.1,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.2,Neat,Catalyst,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,1.5,Neat,Catalyst,20.2,121937.3,59722.2
968,2,9,8,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)C4CCN4C(=O)OC(C)(C)C,20hr_25C,0.1,440.21,MFCD12911997,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,0.1,1,0.1,0,MFCD01321011,CC(C)(C)OC(=O)N1CC[C@H]1C(=O)O,0.15,1.5,0.2,750,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,0.1,100,blank,,0,0,0,0,DMSO,150,CS(=O)C,DMSO,CS(=O)C,9.0,Acetic Acid,CC(=O)O,0.1,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.2,Neat,Catalyst,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,1.5,Neat,Catalyst,81.7,166727.0,110075.3
969,2,9,9,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Cn4c5ccccc5oc4=O,20hr_25C,0.1,432.14,MFCD12911997,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,0.1,1,0.1,0,MFCD01547452,c1ccc2c(c1)n(c(=O)o2)CC(=O)O,0.15,1.5,0.2,750,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,0.1,100,blank,,0,0,0,0,DMSO,150,CS(=O)C,DMSO,CS(=O)C,9.0,Acetic Acid,CC(=O)O,0.1,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.2,Neat,Catalyst,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,1.5,Neat,Catalyst,77.1,181318.1,110013.5
970,2,9,10,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Cc4c[nH]c5c4ccc(c5)OC,20hr_25C,0.1,444.18,MFCD12911997,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,0.1,1,0.1,0,MFCD01548400,COc1ccc2c(c1)[nH]cc2CC(=O)O,0.15,1.5,0.2,750,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,0.1,100,blank,,0,0,0,0,DMSO,150,CS(=O)C,DMSO,CS(=O)C,9.0,Acetic Acid,CC(=O)O,0.1,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.2,Neat,Catalyst,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,1.5,Neat,Catalyst,0.0,12064.1,4873.1
971,2,9,11,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)C4CC(=O)N(C4)c5cccc(c5)OC,20hr_25C,0.1,474.19,MFCD12911997,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,0.1,1,0.1,0,MFCD01630406,COc1cccc(c1)N2CC(CC2=O)C(=O)O,0.15,1.5,0.2,750,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,0.1,100,blank,,0,0,0,0,DMSO,150,CS(=O)C,DMSO,CS(=O)C,9.0,Acetic Acid,CC(=O)O,0.1,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.2,Neat,Catalyst,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,1.5,Neat,Catalyst,65.5,201644.6,132376.0
972,2,9,12,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Cc4cc(ccc4F)Cl,20hr_25C,0.1,427.11,MFCD12911997,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,0.1,1,0.1,0,MFCD01631439,c1cc(c(cc1Cl)CC(=O)O)F,0.15,1.5,0.2,750,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,0.1,100,blank,,0,0,0,0,DMSO,150,CS(=O)C,DMSO,CS(=O)C,9.0,Acetic Acid,CC(=O)O,0.1,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.2,Neat,Catalyst,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,1.5,Neat,Catalyst,17.6,130506.2,65117.6
973,2,9,13,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)C4CC(C4)c5ccccc5,20hr_25C,0.1,415.19,MFCD12911997,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,0.1,1,0.1,0,MFCD01734191,c1ccc(cc1)C2CC(C2)C(=O)O,0.15,1.5,0.2,750,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,0.1,100,blank,,0,0,0,0,DMSO,150,CS(=O)C,DMSO,CS(=O)C,9.0,Acetic Acid,CC(=O)O,0.1,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.2,Neat,Catalyst,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,1.5,Neat,Catalyst,1.2,29285.7,18276.2
974,2,9,14,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)C4CCC(CC4)C(C)C,20hr_25C,0.1,409.24,MFCD12911997,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,0.1,1,0.1,0,MFCD01734696,CC(C)C1CCC(CC1)C(=O)O,0.15,1.5,0.2,750,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,0.1,100,blank,,0,0,0,0,DMSO,150,CS(=O)C,DMSO,CS(=O)C,9.0,Acetic Acid,CC(=O)O,0.1,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.2,Neat,Catalyst,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,1.5,Neat,Catalyst,18.1,113740.7,61662.0
975,2,9,15,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)CCc4nc5ccccc5s4,20hr_25C,0.1,446.14,MFCD12911997,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,0.1,1,0.1,0,MFCD01764690,c1ccc2c(c1)nc(s2)CCC(=O)O,0.15,1.5,0.2,750,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,0.1,100,blank,,0,0,0,0,DMSO,150,CS(=O)C,DMSO,CS(=O)C,9.0,Acetic Acid,CC(=O)O,0.1,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.2,Neat,Catalyst,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,1.5,Neat,Catalyst,0.3,50950.1,28080.9
976,2,9,16,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)C4CN(C4)C(=O)OC(C)(C)C,20hr_25C,0.1,440.21,MFCD12911997,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,0.1,1,0.1,0,MFCD01860897,CC(C)(C)OC(=O)N1CC(C1)C(=O)O,0.15,1.5,0.2,750,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,0.1,100,blank,,0,0,0,0,DMSO,150,CS(=O)C,DMSO,CS(=O)C,9.0,Acetic Acid,CC(=O)O,0.1,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.2,Neat,Catalyst,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,1.5,Neat,Catalyst,24.9,102971.3,55775.5
977,2,9,17,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)C[C@@H](Cc4cccc(c4)F)NC(=O)OC(C)(C)C,20hr_25C,0.1,536.24,MFCD12911997,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,0.1,1,0.1,0,MFCD01860913,CC(C)(C)OC(=O)N[C@H](Cc1cccc(c1)F)CC(=O)O,0.15,1.5,0.2,750,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,0.1,100,blank,,0,0,0,0,DMSO,150,CS(=O)C,DMSO,CS(=O)C,9.0,Acetic Acid,CC(=O)O,0.1,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.2,Neat,Catalyst,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,1.5,Neat,Catalyst,5.3,42644.4,23349.1
978,2,9,18,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)C[C@@H](Cc4ccc(cc4)C(F)(F)F)NC(=O)OC(C)(C)C,20hr_25C,0.1,586.24,MFCD12911997,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,0.1,1,0.1,0,MFCD01860972,CC(C)(C)OC(=O)N[C@H](Cc1ccc(cc1)C(F)(F)F)CC(=O)O,0.15,1.5,0.2,750,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,0.1,100,blank,,0,0,0,0,DMSO,150,CS(=O)C,DMSO,CS(=O)C,9.0,Acetic Acid,CC(=O)O,0.1,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.2,Neat,Catalyst,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,1.5,Neat,Catalyst,3.9,61655.1,26143.0
979,2,9,19,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)C[C@@H](CC=C)NC(=O)OC(C)(C)C,20hr_25C,0.1,468.24,MFCD12911997,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,0.1,1,0.1,0,MFCD01860990,CC(C)(C)OC(=O)N[C@H](CC=C)CC(=O)O,0.15,1.5,0.2,750,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,0.1,100,blank,,0,0,0,0,DMSO,150,CS(=O)C,DMSO,CS(=O)C,9.0,Acetic Acid,CC(=O)O,0.1,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.2,Neat,Catalyst,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,1.5,Neat,Catalyst,1.4,25203.7,15057.7
980,2,9,20,CCOC(=O)c1ncn-2c1CN(C(=O)c3c2ccc(c3)C4CC[C@@H](CC4)NC(=O)OC(C)(C)C)C,20hr_25C,0.1,482.25,MFCD12911997,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,0.1,1,0.1,0,MFCD01862293,CC(OC(=O)N[C@H]1CC[C@@H](CC1)C(=O)O)(C)C,0.15,1.5,0.2,750,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,0.1,100,blank,,0,0,0,0,DMSO,150,CS(=O)C,DMSO,CS(=O)C,9.0,Acetic Acid,CC(=O)O,0.1,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.2,Neat,Catalyst,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,1.5,Neat,Catalyst,28.0,123272.9,70887.5
